Wall time,Step,Value
1720305732.8364272,37144,157.0
1720305733.183001,37224,161.0
1720305734.3445907,37504,137.0
1720305734.455972,37528,130.0
1720305735.6786184,37808,139.0
1720305735.9916255,37880,163.0
1720305736.203931,37928,191.0
1720306429.769337,38520,127.0
1720306430.104678,38592,133.0
1720306430.3945622,38656,189.0
1720306431.0395083,38808,247.0
1720306431.0819256,38816,126.0
1720306433.8111014,39440,195.0
1720306434.7010982,39648,132.0
1720306435.6314397,39856,131.0
1720306435.89949,39912,174.0
1720306436.664973,40072,268.0
1720306437.9613478,40344,211.0
1720306438.4156592,40448,126.0
1720306438.8467762,40544,201.0
1720306440.6278973,40936,161.0
1720306441.3039997,41088,127.0
1720306442.5906508,41368,182.0
1720306443.5787203,41576,154.0
1720307155.3132079,41976,130.0
1720307155.6686966,42048,404.0
1720307156.1578295,42152,201.0
1720307158.4175272,42624,346.0
1720307159.0571275,42752,208.0
1720307160.366166,43024,131.0
1720307161.0593495,43176,200.0
1720307162.2046344,43440,259.0
1720307163.5920455,43744,212.0
1720307163.7083006,43768,202.0
1720307164.5202315,43944,165.0
1720307165.0738056,44064,130.0
1720307166.3663836,44336,198.0
1720307167.545467,44592,177.0
1720307168.4772902,44800,132.0
1720307859.7857313,45304,170.0
1720307859.9404812,45336,134.0
1720307860.0619764,45360,128.0
1720307860.3979428,45432,208.0
1720307860.902427,45544,185.0
1720307861.2393112,45616,128.0
1720307863.275007,46064,158.0
1720307863.9004898,46200,175.0
1720307864.951369,46432,134.0
1720307866.485983,46776,154.0
1720307867.0192435,46896,160.0
1720307868.9375975,47336,238.0
1720307870.1768754,47616,177.0
1720307870.3706865,47656,199.0
1720307870.9646273,47784,126.0
1720307871.400345,47880,322.0
1720308591.897608,48544,264.0
1720308592.2181773,48608,159.0
1720308592.310773,48624,216.0
1720308592.6057467,48680,237.0
1720308593.1034055,48776,124.0
1720308593.6022472,48872,157.0
1720308594.0270514,48960,163.0
1720308594.9361866,49152,159.0
1720308597.256719,49640,127.0
1720308598.0342543,49808,129.0
1720308599.509109,50152,125.0
1720308600.2113588,50304,168.0
1720308601.8535428,50640,221.0
1720308601.9836807,50664,248.0
1720308603.148733,50904,158.0
1720308603.2329695,50920,289.0
1720308603.8119771,51048,155.0
1720308604.259538,51144,168.0
1720309295.381067,51352,150.0
1720309297.2165747,51760,182.0
1720309297.8443604,51896,124.0
1720309298.604308,52056,126.0
1720309298.9466622,52128,186.0
1720309299.8951237,52328,122.0
1720309300.0586815,52360,180.0
1720309300.9966805,52560,237.0
1720309302.908149,52984,153.0
1720309303.295005,53064,126.0
1720309303.6349087,53136,155.0
1720309304.4970713,53320,124.0
1720309304.7126327,53368,128.0
1720309306.59956,53784,153.0
1720309307.451583,53984,232.0
1720309307.602487,54016,129.0
1720309307.8553402,54072,126.0
1720309308.224764,54152,224.0
1720309309.1966546,54384,156.0
1720310010.4999864,54832,183.0
1720310010.6144714,54856,192.0
1720310012.234389,55216,154.0
1720310013.1543417,55408,128.0
1720310013.489759,55480,183.0
1720310013.6738985,55520,217.0
1720310013.9655275,55584,189.0
1720310014.0801501,55608,182.0
1720310015.2217133,55848,124.0
1720310016.7631314,56192,122.0
1720310017.313096,56320,186.0
1720310018.417176,56568,123.0
1720310018.610135,56608,125.0
1720310018.7258148,56632,153.0
1720310019.0207808,56696,152.0
1720310020.3886185,57000,185.0
1720310020.6822846,57064,152.0
1720310023.0901403,57600,124.0
1720310763.5972059,57696,188.0
1720310763.9816828,57784,152.0
1720310764.5067027,57904,151.0
1720310765.4396467,58104,184.0
1720310767.1112401,58464,183.0
1720310767.4624455,58544,185.0
1720310768.5952795,58800,150.0
1720310769.0120988,58896,150.0
1720310769.3994226,58984,150.0
1720310769.9992437,59112,151.0
1720310771.1442807,59360,380.0
1720310771.9962132,59544,125.0
1720310772.1211934,59568,183.0
1720310772.5777173,59664,150.0
1720310774.1663244,60008,151.0
1720310774.6406534,60112,152.0
1720310776.974364,60648,123.0
1720310777.5024366,60768,153.0
1720311554.1268225,60832,231.0
1720311554.2880368,60864,188.0
1720311555.925705,61208,150.0
1720311557.599131,61560,181.0
1720311558.0049782,61648,125.0
1720311558.9499602,61848,127.0
1720311559.5472002,61984,152.0
1720311559.9798472,62080,314.0
1720311560.5151062,62200,124.0
1720311561.0174382,62312,181.0
1720311562.3147116,62592,313.0
1720311562.5056763,62632,123.0
1720311563.2718818,62800,155.0
1720311563.453014,62840,124.0
1720311564.3976963,63056,122.0
1720311565.1439276,63224,155.0
1720311566.8965864,63608,122.0
1720311567.7136865,63792,124.0
1720311567.9385557,63840,125.0
1720311568.226068,63904,213.0
1720312256.1828382,64032,122.0
1720312257.0373728,64216,124.0
1720312257.553596,64328,128.0
1720312258.8236203,64608,125.0
1720312259.6166658,64784,274.0
1720312259.6606388,64792,125.0
1720312260.1810522,64904,133.0
1720312260.9312358,65064,129.0
1720312261.750988,65248,129.0
1720312262.1915045,65344,127.0
1720312262.3063343,65368,183.0
1720312263.328581,65592,123.0
1720312264.1442614,65768,123.0
1720312264.2232969,65784,124.0
1720312264.9602215,65952,131.0
1720312265.3607562,66040,122.0
1720312266.2680516,66240,124.0
1720312266.9382236,66384,127.0
1720312267.843536,66584,124.0
1720312268.0658216,66632,161.0
1720312268.7428946,66784,125.0
1720312268.7868922,66792,128.0
1720312269.6165879,66984,129.0
1720312269.8955228,67048,126.0
1720312961.4060936,67384,125.0
1720312962.3550239,67592,126.0
1720312963.2956564,67800,126.0
1720312963.5210366,67848,133.0
1720312964.2697158,68008,128.0
1720312964.6385865,68088,130.0
1720312966.1348135,68416,131.0
1720312966.2154276,68432,131.0
1720312967.067311,68616,128.0
1720312967.1791587,68640,123.0
1720312968.0356421,68832,129.0
1720312968.416843,68912,133.0
1720312968.7450922,68984,122.0
1720312969.4993544,69152,133.0
1720312971.018656,69480,131.0
1720312971.8387535,69672,129.0
1720312972.5769303,69840,126.0
1720312973.4861963,70048,133.0
1720312973.8664284,70136,123.0
1720312974.2366462,70216,200.0
1720312975.0776594,70392,185.0
1720313658.411572,70464,123.0
1720313658.4542623,70472,127.0
1720313659.5692487,70720,131.0
1720313660.2886124,70888,131.0
1720313660.9762352,71048,125.0
1720313661.4901505,71160,128.0
1720313661.8224077,71232,127.0
1720313662.556825,71392,125.0
1720313662.914795,71472,126.0
1720313662.9941323,71488,127.0
1720313664.117832,71744,128.0
1720313664.7508721,71888,125.0
1720313665.820796,72128,135.0
1720313665.9002907,72144,123.0
1720313666.4221747,72264,129.0
1720313667.041056,72408,127.0
1720313667.359294,72480,126.0
1720313667.5063179,72512,128.0
1720313668.6340764,72760,127.0
1720313669.248587,72904,127.0
1720313670.3933334,73160,129.0
1720313670.5172946,73184,130.0
1720313670.7858205,73240,122.0
1720313671.5907402,73416,126.0
1720313671.799229,73464,123.0
1720313672.0369973,73520,126.0
1720314356.221596,73784,128.0
1720314356.837986,73920,127.0
1720314358.1147156,74184,125.0
1720314358.1930451,74200,130.0
1720314358.5047832,74272,129.0
1720314359.079448,74408,124.0
1720314359.3844428,74480,127.0
1720314359.6898587,74552,129.0
1720314360.7893488,74792,126.0
1720314361.374988,74920,125.0
1720314362.6149015,75192,126.0
1720314362.80104,75232,129.0
1720314363.0937698,75296,128.0
1720314363.6134953,75416,126.0
1720314363.8866,75472,124.0
1720314364.4332733,75592,130.0
1720314365.5203443,75832,130.0
1720314365.9758635,75936,127.0
1720314367.0195534,76176,123.0
1720314367.3512542,76248,127.0
1720314367.7716663,76344,131.0
1720314368.1054657,76424,126.0
1720314368.5532987,76528,132.0
1720314368.7582743,76576,123.0
1720315057.6885748,76848,127.0
1720315058.1660726,76960,128.0
1720315059.117759,77168,124.0
1720315059.9936075,77368,128.0
1720315060.204779,77416,124.0
1720315060.636486,77520,124.0
1720315061.784466,77792,152.0
1720315061.9280841,77824,122.0
1720315062.505142,77960,125.0
1720315063.4582274,78184,127.0
1720315063.5694458,78208,123.0
1720315064.146364,78344,122.0
1720315064.3584929,78392,122.0
1720315064.9334772,78512,124.0
1720315066.3480332,78816,124.0
1720315066.9320683,78944,123.0
1720315067.9114048,79176,124.0
1720315067.9543352,79184,122.0
1720315068.603424,79336,124.0
1720315068.796979,79376,123.0
1720315069.3316588,79496,123.0
1720315070.4341645,79744,122.0
1720315070.6919076,79800,123.0
1720315071.2674918,79928,123.0
1720315759.2134075,80168,123.0
1720315760.5824854,80472,122.0
1720315761.1805122,80608,154.0
1720315761.9644616,80784,123.0
1720315763.5721858,81136,225.0
1720315764.4309318,81320,197.0
1720315765.3711247,81528,200.0
